order_id,customer_id,category,amount,order_date
1000,CUST001,Apparel,66.58,2024-01-30
1001,CUST001,Apparel,258.13,2024-01-10
1002,CUST001,Sports,298.82,2024-02-19
1003,CUST001,Home,392.81,2024-03-19
1004,CUST002,Apparel,125.19,2024-03-21
1005,CUST003,Apparel,248.76,2024-01-22
1006,CUST003,Electronics,470.17,2024-04-26
1007,CUST004,Apparel,478.29,2024-01-23
1008,CUST005,Apparel,339.22,2024-02-03
1009,CUST005,Electronics,492.95,2024-02-23
1010,CUST005,Home,278.05,2024-02-09
1011,CUST005,Electronics,388.69,2024-02-12
1012,CUST006,Electronics,463.86,2024-01-29
1013,CUST006,Sports,240.65,2024-01-29
1014,CUST006,Books,206.85,2024-04-01
1015,CUST007,Electronics,119.7,2024-02-24
1016,CUST007,Electronics,33.35,2024-02-19
1017,CUST007,Books,326.98,2024-04-24
1018,CUST007,Home,224.75,2024-02-29
1019,CUST007,Apparel,420.83,2024-02-24
1020,CUST007,Apparel,139.39,2024-01-29
1021,CUST008,Electronics,142.47,2024-04-01
1022,CUST008,Sports,484.5,2024-04-21
1023,CUST008,Sports,376.22,2024-03-17
1024,CUST008,Apparel,21.81,2024-02-08
1025,CUST008,Home,115.43,2024-02-17
1026,CUST008,Books,371.25,2024-02-02
1027,CUST009,Electronics,186.3,2024-03-11
1028,CUST009,Apparel,53.82,2024-04-28
1029,CUST009,Apparel,437.43,2024-03-11
1030,CUST009,Apparel,71.3,2024-04-05
1031,CUST009,Sports,139.59,2024-01-03
1032,CUST009,Electronics,356.47,2024-03-24
1033,CUST009,Books,436.1,2024-01-28
1034,CUST009,Sports,92.65,2024-01-05
1035,CUST010,Electronics,273.18,2024-04-09
1036,CUST011,Electronics,252.07,2024-01-07
1037,CUST011,Home,249.28,2024-01-08
1038,CUST011,Home,122.85,2024-02-05
1039,CUST011,Books,76.96,2024-01-20
1040,CUST011,Electronics,315.76,2024-01-11
1041,CUST011,Apparel,63.43,2024-02-27
1042,CUST011,Apparel,14.14,2024-03-31
1043,CUST012,Books,175.51,2024-04-21
1044,CUST012,Books,323.2,2024-02-02
1045,CUST012,Home,47.81,2024-04-15
1046,CUST012,Electronics,43.5,2024-01-23
1047,CUST013,Electronics,304.19,2024-02-22
1048,CUST013,Home,274.56,2024-04-18
1049,CUST013,Apparel,216.56,2024-01-15
1050,CUST014,Books,254.43,2024-04-18
1051,CUST014,Books,234.63,2024-04-26
1052,CUST014,Sports,213.69,2024-02-29
1053,CUST014,Books,395.78,2024-04-19
1054,CUST014,Apparel,495.07,2024-03-17
1055,CUST014,Sports,225.73,2024-01-10
1056,CUST014,Sports,281.92,2024-03-19
1057,CUST014,Home,377.81,2024-04-03
1058,CUST015,Apparel,442.39,2024-03-27
1059,CUST015,Electronics,190.82,2024-02-26
1060,CUST015,Sports,332.84,2024-01-19
1061,CUST015,Books,92.61,2024-01-25
1062,CUST015,Apparel,164.3,2024-01-03
1063,CUST016,Apparel,27.24,2024-02-16
1064,CUST016,Electronics,332.21,2024-01-28
1065,CUST016,Books,159.66,2024-04-18
1066,CUST016,Apparel,203.75,2024-04-09
1067,CUST016,Electronics,178.65,2024-02-20
1068,CUST016,Sports,288.53,2024-01-11
1069,CUST016,Electronics,247.55,2024-01-31
1070,CUST016,Apparel,259.88,2024-02-09
1071,CUST017,Electronics,373.36,2024-02-24
1072,CUST018,Sports,61.38,2024-02-18
1073,CUST018,Home,201.12,2024-01-04
1074,CUST018,Electronics,366.96,2024-04-12
1075,CUST018,Electronics,273.05,2024-02-03
1076,CUST018,Home,123.56,2024-03-28
1077,CUST019,Home,317.7,2024-04-16
1078,CUST019,Sports,197.33,2024-04-23
1079,CUST019,Sports,211.93,2024-01-11
1080,CUST019,Home,75.67,2024-03-27
1081,CUST020,Sports,145.3,2024-02-12
1082,CUST020,Home,88.06,2024-04-20
1083,CUST020,Books,397.19,2024-03-25
1084,CUST020,Home,296.85,2024-01-16
1085,CUST020,Books,481.21,2024-03-14
1086,CUST021,Home,282.65,2024-03-09
1087,CUST021,Electronics,201.22,2024-04-09
1088,CUST021,Books,268.37,2024-03-04
1089,CUST022,Home,52.67,2024-01-17
1090,CUST022,Home,461.99,2024-03-31
1091,CUST022,Sports,230.46,2024-04-13
1092,CUST022,Apparel,52.23,2024-04-16
1093,CUST022,Home,131.49,2024-01-30
1094,CUST023,Home,179.94,2024-04-27
1095,CUST024,Books,274.77,2024-01-07
1096,CUST024,Apparel,86.72,2024-02-27
1097,CUST024,Home,128.92,2024-03-03
1098,CUST024,Apparel,115.54,2024-03-11
1099,CUST024,Books,250.75,2024-01-12
1100,CUST024,Electronics,248.72,2024-02-25
1101,CUST024,Electronics,313.6,2024-01-12
1102,CUST025,Home,221.91,2024-03-21
1103,CUST026,Sports,91.91,2024-01-01
1104,CUST026,Sports,497.45,2024-04-11
1105,CUST026,Books,289.36,2024-04-19
1106,CUST026,Electronics,161.8,2024-03-14
1107,CUST026,Electronics,318.94,2024-02-14
1108,CUST026,Home,474.94,2024-03-12
1109,CUST026,Electronics,343.98,2024-03-25
1110,CUST026,Electronics,130.22,2024-01-15
1111,CUST027,Electronics,135.82,2024-02-29
1112,CUST027,Apparel,268.76,2024-04-23
1113,CUST027,Electronics,182.79,2024-01-10
1114,CUST028,Electronics,171.26,2024-01-14
1115,CUST028,Home,59.95,2024-02-19
1116,CUST029,Sports,235.44,2024-03-02
1117,CUST029,Sports,339.27,2024-02-12
1118,CUST029,Books,237.8,2024-01-31
1119,CUST030,Home,311.46,2024-02-21
1120,CUST030,Apparel,434.19,2024-01-13
1121,CUST030,Apparel,215.52,2024-01-27
1122,CUST030,Books,349.59,2024-01-25
1123,CUST030,Books,60.59,2024-02-24
1124,CUST030,Books,42.67,2024-02-17
1125,CUST030,Home,10.01,2024-02-24
1126,CUST031,Home,24.19,2024-02-29
1127,CUST031,Apparel,279.25,2024-01-03
1128,CUST031,Books,220.12,2024-03-25
1129,CUST031,Books,50.97,2024-04-25
1130,CUST031,Books,465.97,2024-01-28
1131,CUST031,Home,199.27,2024-04-18
1132,CUST032,Sports,212.94,2024-02-16
1133,CUST032,Books,93.32,2024-04-05
1134,CUST032,Apparel,299.23,2024-02-11
1135,CUST032,Books,54.85,2024-02-23
1136,CUST032,Home,54.32,2024-03-03
1137,CUST032,Home,11.83,2024-04-27
1138,CUST033,Home,127.84,2024-04-23
1139,CUST033,Home,364,2024-03-17
1140,CUST033,Home,422.08,2024-01-12
1141,CUST033,Electronics,16.24,2024-03-30
1142,CUST033,Sports,330.67,2024-01-01
1143,CUST034,Electronics,154.29,2024-04-29
1144,CUST035,Electronics,121.07,2024-03-08
1145,CUST036,Electronics,134.24,2024-02-26
1146,CUST036,Electronics,252.44,2024-01-04
1147,CUST036,Apparel,355.89,2024-03-24
