date,category,region,units,revenue
2024-01-01,Sports,West,31,1815.78
2024-01-01,Books,East,3,213.81
2024-01-01,Books,East,13,971.18
2024-01-02,Sports,West,8,161.19
2024-01-02,Books,West,7,334.26
2024-01-02,Apparel,South,27,314.58
2024-01-03,Books,South,30,567.65
2024-01-03,Sports,South,8,695.9
2024-01-04,Apparel,West,12,128.6
2024-01-05,Electronics,East,38,1350.28
2024-01-05,Books,North,3,136.91
2024-01-05,Books,West,16,832.59
2024-01-06,Sports,East,13,730.37
2024-01-07,Books,East,31,2988.88
2024-01-07,Home Goods,East,13,843.08
2024-01-08,Electronics,South,1,11.54
2024-01-08,Home Goods,South,12,1129.77
2024-01-09,Apparel,South,21,1255.75
2024-01-10,Electronics,South,31,1037.88
2024-01-11,Home Goods,South,34,3019.4
2024-01-11,Electronics,North,12,615.8
2024-01-12,Electronics,North,4,332.4
2024-01-12,Home Goods,East,33,2962.69
2024-01-12,Home Goods,South,33,1924.16
2024-01-13,Books,West,23,1871.4
2024-01-14,Books,East,21,914.89
2024-01-15,Home Goods,West,19,1238.58
2024-01-15,Apparel,North,8,437.89
2024-01-15,Electronics,East,29,403.51
2024-01-16,Apparel,North,35,3028.61
2024-01-16,Electronics,South,27,2426.65
2024-01-17,Electronics,South,30,2143.55
2024-01-17,Home Goods,South,33,955.77
2024-01-18,Sports,East,5,159.98
2024-01-18,Electronics,South,18,606.14
2024-01-19,Sports,South,9,726
2024-01-19,Sports,West,33,1204.87
2024-01-20,Apparel,West,12,719.55
2024-01-20,Apparel,North,7,419.81
2024-01-20,Apparel,South,18,1113.04
2024-01-21,Apparel,South,30,1096.79
2024-01-21,Books,East,7,298.12
2024-01-21,Sports,North,28,2222.06
2024-01-22,Electronics,West,16,1423.48
2024-01-22,Books,South,25,1497.61
2024-01-22,Apparel,East,34,1262.67
2024-01-23,Sports,North,12,462.89
2024-01-23,Sports,East,17,509.56
2024-01-24,Books,South,37,1401.18
2024-01-25,Home Goods,West,16,589.65
2024-01-26,Sports,West,33,3097.67
2024-01-27,Books,North,11,467.81
2024-01-28,Electronics,North,33,1092.59
2024-01-28,Electronics,South,7,677.76
2024-01-29,Electronics,North,37,2825.4
2024-01-29,Electronics,East,13,185.16
2024-01-30,Apparel,East,20,1904.81
2024-01-30,Electronics,South,37,3229.68
2024-01-31,Home Goods,South,32,711.81
2024-02-01,Apparel,South,27,906.27
2024-02-02,Electronics,North,24,2276.73
2024-02-03,Home Goods,East,33,2521.75
2024-02-04,Home Goods,South,16,1362.7
2024-02-04,Electronics,North,2,56.84
2024-02-04,Home Goods,East,5,395.4
2024-02-05,Electronics,South,11,1001.53
2024-02-05,Sports,South,29,1330.35
2024-02-05,Apparel,West,26,1915.23
2024-02-06,Sports,West,22,1227.48
2024-02-07,Books,North,27,220.88
2024-02-07,Sports,West,35,1446.88
2024-02-08,Books,West,14,1227.58
2024-02-08,Electronics,South,36,900.35
2024-02-09,Electronics,East,39,3814.69
2024-02-10,Home Goods,West,10,928.14
2024-02-10,Apparel,North,34,2076.24
2024-02-10,Apparel,East,7,537.07
2024-02-11,Home Goods,North,8,719.56
2024-02-11,Books,West,37,361.49
2024-02-12,Sports,South,11,296.43
2024-02-13,Books,South,11,1032.07
2024-02-13,Books,South,14,1044.07
2024-02-14,Apparel,West,29,881.94
2024-02-14,Apparel,East,25,1883.25
2024-02-15,Sports,South,27,880.83
2024-02-15,Sports,West,16,827.33
2024-02-16,Home Goods,East,14,461.44
2024-02-17,Home Goods,West,9,315.2
2024-02-17,Sports,South,40,2156.88
2024-02-17,Electronics,North,15,320.1
2024-02-18,Books,South,35,980.31
2024-02-18,Electronics,South,3,178.78
2024-02-18,Electronics,East,18,514.55
2024-02-19,Electronics,North,11,808.19
2024-02-19,Home Goods,West,40,1465.25
2024-02-20,Apparel,South,7,598.33
2024-02-21,Home Goods,South,16,1184.31
2024-02-21,Sports,North,3,84.31
2024-02-21,Sports,West,23,1600.72
2024-02-22,Apparel,North,8,110.86
2024-02-22,Home Goods,South,3,148.55
2024-02-22,Books,West,9,703.25
2024-02-23,Apparel,West,2,190.12
2024-02-23,Home Goods,South,32,571.21
2024-02-24,Electronics,West,31,1510.69
2024-02-25,Home Goods,North,17,1612.76
2024-02-25,Home Goods,West,18,414.49
2024-02-26,Apparel,South,39,1096.74
2024-02-27,Home Goods,South,15,718.73
2024-02-27,Apparel,West,39,1053
2024-02-28,Home Goods,West,12,849.02
2024-02-28,Apparel,West,29,696.1
2024-02-28,Electronics,North,36,887.85
2024-02-29,Sports,East,18,749.38
2024-03-01,Apparel,West,13,270.41
2024-03-01,Electronics,South,17,210.55
2024-03-01,Home Goods,South,13,1187.91
2024-03-02,Apparel,South,34,1657.97
2024-03-02,Sports,West,6,191.54
2024-03-02,Home Goods,West,29,233.3
2024-03-03,Books,West,28,1696.6
2024-03-03,Home Goods,East,35,730.85
2024-03-03,Home Goods,West,19,500.75
2024-03-04,Books,South,40,2173.73
2024-03-05,Sports,North,39,870.02
2024-03-05,Sports,North,14,573.02
2024-03-06,Books,West,8,722.83
2024-03-06,Sports,West,7,651.99
2024-03-07,Sports,North,6,399.14
2024-03-08,Apparel,East,21,528.35
2024-03-09,Apparel,North,25,399.87
2024-03-09,Home Goods,South,12,850.96
2024-03-10,Apparel,South,3,189.62
2024-03-10,Home Goods,North,23,2122.71
